symbol,market,name,em_code,em_id
AGRI,US,AgriFORCE Growing Systems Ltd,105.AGRI,105
QUBT,US,Quantum Computing Inc,105.QUBT,105
RILY,US,B. Riley Financial Inc,105.RILY,105
NUKKW,US,Nukkleus Inc Wt,105.NUKKW,105
GFAI,US,卫安智能,105.GFAI,105
GSRTR,US,GSR III Acquisition Corp Rt,105.GSRTR,105
XYLO,US,Xylo Technologies Ltd ADR,105.XYLO,105
GRRR,US,大猩猩科技,105.GRRR,105
MBRX,US,Moleculin Biotech Inc,105.MBRX,105
CYCCP,US,Cyclacel Pharmaceuticals Inc Pf,105.CYCCP,105
SYTAW,US,Siyata Mobile Inc Wt,105.SYTAW,105
MYNZ,US,Mainz Biomed NV,105.MYNZ,105
LEGT_WS,US,Legato Merger Corp III Wt,107.LEGT_WS,107
ENGNW,US,enGene Holdings Inc Wt,105.ENGNW,105
RNWWW,US,ReNew Energy Global plc Wt,105.RNWWW,105
GMGI,US,Golden Matrix Group Inc,105.GMGI,105
NAMI,US,进馨科技,105.NAMI,105
CNCKW,US,Coincheck Group NV Wt,105.CNCKW,105
CTCX,US,Carmell Corp,105.CTCX,105
COSM,US,Cosmos Health Inc,105.COSM,105
SHOTW,US,Safety Shot Inc Wt,105.SHOTW,105
BFRGW,US,Bullfrog AI Holdings Inc Wt,105.BFRGW,105
ORIS,US,闽东红集团,105.ORIS,105
BYNOW,US,byNordic Acquisition Corp Wt,105.BYNOW,105
ANGHW,US,Anghami Inc Wt,105.ANGHW,105
ABVE,US,Above Food Ingredients Inc,105.ABVE,105
AISP,US,Airship AI Holdings Inc,105.AISP,105
ICUCW,US,SeaStar Medical Holding Corp Wt,105.ICUCW,105
FTIIW,US,FutureTech II Acquisition Corp ,105.FTIIW,105
TRVG,US,trivago NV ADR,105.TRVG,105
NNBR,US,NN Inc,105.NNBR,105
ZVSA,US,ZyVersa Therapeutics Inc,105.ZVSA,105
CIFRW,US,Cipher Mining Inc Wt,105.CIFRW,105
SYRS,US,Syros Pharmaceuticals Inc,105.SYRS,105
GRYP,US,Gryphon Digital Mining Inc,105.GRYP,105
GWAV,US,Greenwave Technology Solutions ,105.GWAV,105
OST,US,奥斯汀科技,105.OST,105
LFVN,US,LifeVantage Corp,105.LFVN,105
RCKTW,US,Rocket Pharmaceuticals Inc Wt,105.RCKTW,105
BTDR,US,Bitdeer Technologies Group-A,105.BTDR,105
HOV,US,霍夫纳尼安,106.HOV,106
LEDS,US,旭明光电,105.LEDS,105
SERV,US,Serve Robotics Inc,105.SERV,105
BTMWW,US,Bitcoin Depot Inc Wt,105.BTMWW,105
ESGLW,US,ESGL Holdings Ltd Wt,105.ESGLW,105
HOVRW,US,New Horizon Aircraft Ltd Wt,105.HOVRW,105
IONQ_WS,US,IonQ Inc Wt,106.IONQ_WS,106
GLSTR,US,Global Star Acquisition Inc Rt,105.GLSTR,105
NXL,US,Nexalin Technology Inc,105.NXL,105
UWMC_WS,US,UWM Holdings Corp Wt,106.UWMC_WS,106
STAI,US,ScanTech AI Systems Inc,105.STAI,105
POLEW,US,Andretti Acquisition Corp II Wt,105.POLEW,105
ELAB,US,PMGC Holdings Inc,105.ELAB,105
ZOOZW,US,ZOOZ Power Ltd Wt,105.ZOOZW,105
HPP,US,Hudson Pacific Properties Inc,106.HPP,106
TRUG,US,TruGolf Inc-A,105.TRUG,105
MOBBW,US,Mobilicom Ltd ADR Wt,105.MOBBW,105
LSE,US,雷神能源,105.LSE,105
IBIO,US,iBio Inc,107.IBIO,107
FRGE,US,Forge Global Holdings Inc,106.FRGE,106
APLD,US,Applied Digital Corp,105.APLD,105
HSAI,US,禾赛,105.HSAI,105
AUUDW,US,Auddia Inc Series A Wt,105.AUUDW,105
ZEOWW,US,Zeo Energy Corp Wt,105.ZEOWW,105
ILLR,US,Triller Group Inc,105.ILLR,105
DPST,US,Direxion Daily Regional Banks B,107.DPST,107
STSSW,US,Sharps Technology Inc Wt,105.STSSW,105
DSY,US,大树云,105.DSY,105
INKT,US,MiNK Therapeutics Inc,105.INKT,105
GRAF_WS,US,Graf Global Corp Wt,107.GRAF_WS,107
BKKT_WS,US,Bakkt Holdings Inc Wt,106.BKKT_WS,106
HRI,US,Herc Holdings Inc,106.HRI,106
CNF,US,泛华金融,106.CNF,106
TTI,US,脂鲤技术,106.TTI,106
FLUX,US,Flux Power Holdings Inc,105.FLUX,105
PODC,US,PodcastOne Inc,105.PODC,105
JXG,US,金铉集团,105.JXG,105
NE_WS,US,Noble Corp plc Wt,106.NE_WS,106
HYMCL,US,Hycroft Mining Holding Corp Wt,105.HYMCL,105
BRAC,US,Broad Capital Acquisition Corp,105.BRAC,105
AMOD,US,Alpha Modus Holdings Inc-A,105.AMOD,105
RILYP,US,B. Riley Financial Inc Series A,105.RILYP,105
LAES,US,SEALSQ Corp,105.LAES,105
ABLLW,US,Abacus Life Inc Wt,105.ABLLW,105
IESC,US,IES Holdings Inc,105.IESC,105
FTFT,US,富册金科,105.FTFT,105
XCUR,US,Exicure Inc,105.XCUR,105
NEO,US,NeoGenomics Inc,105.NEO,105
ETHT,US,ProShares Ultra Ether ETF,107.ETHT,107
GIFT,US,Giftify Inc,105.GIFT,105
FSHPR,US,Flag Ship Acquisition Corp Rt,105.FSHPR,105
PRPL,US,Purple Innovation Inc-A,105.PRPL,105
ANGI,US,Angi Inc-A,105.ANGI,105
OPFI,US,OppFi Inc-A,106.OPFI,106
GDXU,US,MicroSectors Gold Miners 3X Lev,107.GDXU,107
ONC,US,百济神州,105.ONC,105
NAIL,US,Direxion Daily Homebuilders & S,107.NAIL,107
MYSZ,US,My Size Inc,105.MYSZ,105
BIOX,US,Bioceres Crop Solutions Corp,105.BIOX,105
EWTX,US,Edgewise Therapeutics Inc,105.EWTX,105
BBLGW,US,Bone Biologics Corp Wt,105.BBLGW,105
ETU,US,T-Rex 2X Long Ether Daily Targe,107.ETU,107
UI,US,优倍快,106.UI,106
MSTX,US,二倍做多MSTR ETF-Defiance,105.MSTX,105
AISPW,US,Airship AI Holdings Inc Wt,105.AISPW,105
VAL_WS,US,Valaris Ltd Wt,106.VAL_WS,106
UMAC,US,Unusual Machines Inc,107.UMAC,107
ETHU,US,2x Ether Strategy ETF,107.ETHU,107
MSTU,US,二倍做多MSTR ETF-T-Rex,107.MSTU,107
